emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO005561;ABB;4696760;NMI 400L8A BAS;500;kW ;3300;112;;8;742;6226;6220;400L;;3;;;55;F;S1;Star;Available;;;;;;;;Internal;Horizontal
EMO005457;SEW EURO DRIVE;W496605;S62DT80K4/2;0.4/ 0.63;kW ;380;1.3/ 1.6;;2/4;3000 1500;6303;6203;;;3;;;55;;;Delta;Not Available;;;;;;;;Internal;Vertical
EMO005562;ABB;4696761;NMI 400L8A BAS;500;kW ;3300;112;;8;742;6226;6220;400L;;3;;;55;F;S1;Star;Available;;;;;;;;Internal;Horizontal
EMO005456;SEW EURO DRIVE;W496609;S62DT80K4/2;0.4/ 0.63;kW ;380;1.3/ 1.6;;2/4;3000 1500;6303;6203;;;3;;;55;;;Delta;Not Available;;;;;;;;Internal;Vertical
EMO005565;MARATHON;SX11015356-1001;HJN 315L1-4;160;kW ;380;285;;4;1480;6319;6319;;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO005587;Siemens;UD 2101/2291951-001-017;1LE15031CB234GA4-Z;7.5;kW ;400;14.3;;4;1470;6308;6308;132M;;3;;;55;F;;Delta;;;;;;;;;Internal;Vertical
EMO005588;Siemens;UD 2101/2291951-001-019;1LE15031CB234GA4-Z;7.5;kW ;400;14.3;;4;1470;6308;6308;132M;;3;;;55;F;;Delta;;;;;;;;;Internal;Vertical
EMO005589;Siemens;UD 2101/2291951-001-014;1LE15031CB234GA4-Z;7.5;kW ;400;14.3;;4;1470;6308;6308;132M;;3;;;55;F;;Delta;;;;;;;;;Internal;Vertical
EMO005590;Siemens;UD 2101/2291951-001-016;1LE15031CB234GA4-Z;7.5;kW ;400;14.3;;4;1470;6308;6308;132M;;3;;;55;F;;Delta;;;;;;;;;Internal;Vertical
EMO005591;Siemens;UD 2101/2291951-001-018;1LE15031CB234GA4-Z;7.5;kW ;400;14.3;;4;1470;6308;6308;132M;;3;;;55;F;;Delta;;;;;;;;;Internal;Vertical
