emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
MGM000271;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000272;SEW;35010142860100036020;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000273;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000275;SEW;35010071660100180420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000276;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000277;SEW;35010071660200170420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000279;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000281;SEW;350106860301000114;R67DRS;0,55;KW;380;1,63;50;4;1380;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000282;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000284;SEW;35010071660200014420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000296;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000297;SEW;35010071660600110420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000299;SEW;35010246610100030820;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MDO000327;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000692;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000298;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000302;SEW;35010071660100170420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000303;SEW;35010071660100020420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000304;SEW;011839092001000112;R67DRS;0,55;KW;380;1,63;50;4;1380;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000305;MCN;N07530031;NL-05;0,75;KW;380;2,06;50;4;1400;;;71 M;;3;;;54;E;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000306;MCN;N07530085;NL-05;0,75;KW;380;2,06;50;4;1400;;;71 M;;3;;;54;E;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000307;Tatung;13120942;H3FE;0,75;KW;380;2,3;50;6;950;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000309;SEW;35010071660100080420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000752;SEW;017275732401000115;R67DRS;0,55;KW;380;1,63;50;4;1380;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000312;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000750;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000314;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000315;SEW;35010071660200090420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000316;SEW;35010071660100060420;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000317;SEW;350106860301000314;R67DRS;0,55;KW;380;1,63;50;4;1380;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000318;SEW;;R67DRS;0,55;KW;380;1,63;50;4;1380;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000319;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000320;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000321;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000322;SEW;;R67DT;0,55;KW;380;1,84;50;4;1360;;;71 M;;3;;;55;H;S1;Start;Not Available;;;;;;;;Internal;Vertical
MGM000323;MCN;;NL-05;0,75;KW;380;2,06;50;4;1400;;;71 M;;3;;;54;E;S1;Start;Not Available;;;;;;;;Internal;Vertical
EMO001836;TOSHIBA;OSEVRKB0HM1001;IDF-CHK11;160;KW;420;255/250;"59 
70";4;1750-2100;6220;6220;280MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001837;TOSHIBA;OSEVRKB4HM1401;IDF-CHK11;75;KW;420;130/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001834;TOSHIBA;E11X243HF;ICF-CHKM11;750;KW;680/695;770/695;"58 
69";4;1150-1380;6228;6228;450;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001833;TOSHIBA;E11X240HF;ICF-CHKM11;750;KW;680/695;770/695;"58 
69";4;1150-1380;6228;6228;450;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001831;TOSHIBA;E11X240HF;ICF-CHKM11;750;KW;680/695;770/695;"58 
69";4;1150-1380;6228;6228;450;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001830;TOSHIBA;E11X240HF;ICF-CHKM11;750;KW;680/695;770/695;"58 
69";4;1150-1380;6228;6228;450;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO003413;TOSHIBA;E132770HM;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001825;TOSHIBA;52292615M;IDF-CHK11;1450;KW;685/690;1390/1360;"51 
61";4;1500-1800;6230;6230;"450 
1400";;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001826;TOSHIBA;52294541M;IDF-CHK11;1450;KW;685/690;1390/1360;"51 
61";4;1500-1800;6230;6230;"450 
1400";;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001829;TOSHIBA;OSEVRKAHE0101;IDF-CHK11;500;KW;420;800/780;"58 
70";4;1750-2100;6224;6224;355H;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001828;TOSHIBA;OSEVRKC8HF0601;IDF-CHK11;500;KW;420;800/780;"58 
70";4;1750-2100;6224;6224;355H;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO003927;TOSHIBA;52294540M;ICF-CHKM11;630;KW;400;1100/1080;"51 
61";4;1500-1800;6228;6228;400H;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001839;TOSHIBA;OSEVRKB3HM130;IDF-CHKW11;75;KW;420;130/125;"95 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO001838;TOSHIBA;OSEVRKA6HM0601;IDF-CHK11;220;KW;420;345/340;"59 
70";4;1750-2100;6220;6220;280L;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO004909;TOSHIBA;E18ZA42HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO004907;TOSHIBA;E18ZA40HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
