emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO000895;ABB;;QU 100L;2,2;kW;380;4,9;50;4;1425;;;100L;;3;0,81;;55;F;S1;Delta;Not Available;;;;;;100;;Internal;Horizontal
EMO001276;HWADA;58483901-J;Y2;4;kW;380;8,8;50;4;1480;;;112M;;3;0,82;;55;F;S1;Delta;Not Available;;;;;;112;;Internal;Horizontal
EMO000379;ABB;;HXA;4;kW ;380;8,6;50;4;1480;6307;6206;112M;;3;0,83;;55;F;;Delta;Not Available;;;;140;180;112;;Internal;Horizontal
EMO001274;HWADA;;Y2;2,2;kW;380;4,9;50;4;1410;;;100L;;3;;;55;F;;;Not Available;;;;140;160;100L;;Internal;Horizontal
EMO001273;HWADA;;Y2;2,2;kW;380;4,9;50;4;1410;;;100L;;3;;;55;F;;;Not Available;;;;140;160;100L;;Internal;Horizontal
EMO001271;HWADA;535491;Y2;30;kW;380;55,5;50;2;2950;;;200L;;3;0,9;;55;F;S1;;Not Available;;;;;;200L;;Internal;Horizontal
EMO003839;HWADA;59549001-J;Y2;30;kW;380;55,5;50;2;2950;;;200L;;3;0,9;0,914;55;F;S1;Delta;Not Available;;;;;;200;;Internal;Horizontal
EMO002708;TECO;;AEEF;2,2;kW;380;5,7;50;4;1430;6305;6206;100L;;3;;;55;F;;Delta;Not Available;;;;;;100;;Internal;Horizontal
EMO001269;HWADA;;AEEB;2,2;kW;380;5,7;50;4;1460;;;;;3;;;;;;;;;;;;;;;Internal;Horizontal
EMO001268;TECO;61077023001;AEEB;11;kW;380;23;50;4;1460;6309;6307;160;;3;;;55;F;;;Not Available;;;;210;254;160;;Internal;Horizontal
EMO001453;NORD;;NK;15;kW;380;28,2;50;4;1460;;;160L;;3;0,86;;55;F;;;Not Available;;;;;;160;;Internal;Vertical
EMO001451;GRUNFOS;;;4;kW ;380;8,6;50;2;2990;;;;;3;;;;;;;Not Available;;;;;;;;Internal;Vertical
EMO001449;NORD;930940657-900;SK;15;kW;380;28,7;50;4;1465;;;160L;;3;0,87;;55;F;S1;;;;;;;;160;;Internal;Vertical
EMO001795;NORD;37453891;SK;15;kW;380;27,5;50;4;1465;;;160L;;3;0,87;;55;F;S1;;;;;;;;160;;Internal;Vertical
EMO003136;SATIL;2495-10;CAL;1,1;kW ;380;4,5;50;4;1460;;;;;3;;;;;;;;;;;;;;;Not available;Vertical
EMO003363;SATIL;;1LA3;1,1;kW;380;2,2;50;4;1420;;;;;3;;;;;;;Not Available;;;;;;;;Not available;Vertical
EMO001452;SATIL;;1LA3;1,1;kW;380;2,2;50;4;1430;;;;;3;;;;;;;Not Available;;;;;;;;Not available;Vertical
EMO001450;NORD;;SK;0,5;kW;380;1052;50;4;1375;;;80S;;3;;;55;F;S2 ;;Available;;;;;;80;;Internal;Vertical
EMO003196;GEFENCE;;;0.118;kW;24 VDC;6,5;50;;4500;;;;;3;;;54;;;;Not Available;;;;;;;;Not available;Vertical
EMO001538;Ishan;;VC;0.5;HP;380;0,88;50;2;3450;;;;;3;;;55;F;S1 ;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO001537;NORD;;SK;0,75;kW;380;1,95;50;4;1375;;;80L;;3;0,74;;55;F;S1;Start;Not Available;;;;;;80;;Internal;Vertical
EMO001536;NORD;;SK;2,2;kW;380;5,2;50;4;1440;;;100L;;3;0,74;;55;F;S1;;Not Available;;;;;;100;;Internal;Vertical
EMO001535;NORD;;SK;2,2;kW;380;5,2;50;4;1440;;;100L;;3;0,74;;55;F;S1;;Not Available;;;;;;100;;Internal;Vertical
EMO001070;ASEA;;;2,2;KW;380;5,7;50;6;985;;;100 L;;3;;;55;F;S1;Start;Not Available;;;;;;100 L;;Internal;Horizontal
EMO001534;NORD;;SK;0,75;kW;380;1,95;50;4;1375;;;80L;;3;0,74;;55;F;S1;Start;Not Available;;;;;;;;Internal;Vertical
EMO001532;NORD;;SK;5,5;kW;380;11,8;50;4;1445;;;132S;;3;0,81;;55;F;S1;;Not Available;;;;;;;;Internal;Vertical
EMO001531;NORD;;SK;5,5;kW;380;11,8;50;4;1445;;;132S;;3;0,81;;55;F;S1;;Not Available;;;;;;;;Internal;Vertical
