id;tag_name;created_at
FP-01-SP5-WRS-T100-P059;P-SS-2/M;2023-10-27 13:57:15
FP-01-SP5-WRS-T025-P064;SP5.P-FS-2A/M;2023-10-27 13:57:16
FP-01-SP5-WRS-T025-P063;SP5.P-FS-2/M;2023-10-27 13:57:17
FP-01-SP5-WRS-T025-P062;SP5.P-FS-1/M;2023-10-27 13:57:18
FP-01-SP5-WRS-T024-P058;P-SS-1/M;2023-10-27 13:57:19
FP-01-SP5-WRS-T021-P030;SP5.P-30/M;2023-10-27 13:57:20
FP-01-SP5-WRS-T021-A004;SP5.T-7.AGT/M;2023-10-27 13:57:21
FP-01-SP5-WRS-T020-P035;SP5.P-35/M;2023-10-27 13:57:22
FP-01-SP5-WRS-T019-P029;SP5.P-29/M;2023-10-27 13:57:23
FP-01-SP5-WRS-T019-P028;SP5.P-28/M;2023-10-27 13:57:24
FP-01-SP5-WRS-T018-P127;PM5.P-DV-9/P/M;2023-10-27 13:57:25
FP-01-SP5-WRS-T018-P027;SP5.P-27/M;2023-10-27 13:57:26
FP-01-SP5-OCC-PU01-RAGG;SP5.M-3/CRN/M;2023-10-27 13:57:27
FP-01-SP5-RJS-TH03;SP5.M-R-3/M;2023-10-27 13:57:28
FP-01-SP5-RJS-SR12;SP5.M-R-2/M;2023-10-27 13:57:29
FP-01-SP5-OCC-TH02;SP5.M-35/M;2023-10-27 13:57:30
FP-01-SP5-OCC-TH02;SP5.M-35.SH/M;2023-10-27 13:57:31
FP-01-SP5-OCC-TH02;SP5.M-35.GB/M;2023-10-27 13:57:32
FP-01-SP5-OCC-TH01;SP5.M-34/M;2023-10-27 13:57:33
FP-01-SP5-OCC-TH01;SP5.M-34.SH/M;2023-10-27 13:57:34
FP-01-SP5-OCC-TH01;SP5.M-34.GB/M;2023-10-27 13:57:35
FP-01-SP5-OCC-T007-P025;SP5.P-25/M;2023-10-27 13:57:36
FP-01-SP5-OCC-T006-P026;SP5.P-26/M;2023-10-27 13:57:37
FP-01-SP5-OCC-T006-A003;SP5.T-5/AGT/M;2023-10-27 13:57:38
FP-01-SP5-OCC-T004-P024;SP5.P-24/M;2023-10-27 13:57:39
FP-01-SP5-OCC-T004-P019;SP5.P-19/M;2023-10-27 13:57:40
FP-01-SP5-OCC-T004-P018;SP5.P-18/M;2023-10-27 13:57:41
FP-01-SP5-OCC-T004-P017;SP5.P-17/M;2023-10-27 13:57:42
FP-01-SP5-OCC-T004-P015;SP5.P-15/M;2023-10-27 13:57:43
FP-01-SP5-OCC-T004-P014;SP5.P-14/M;2023-10-27 13:57:44
FP-01-SP5-OCC-T004-P013;SP5.P-13/M;2023-10-27 13:57:45
FP-01-SP5-OCC-T004-P012;SP5.P-12/M;2023-10-27 13:57:46
FP-01-SP5-OCC-T004-P011;SP5.P-11/M;2023-10-27 13:57:47
FP-01-SP5-OCC-T004-P010;SP5.P-10/M;2023-10-27 13:57:48
FP-01-SP5-OCC-T003-P034;SP5.P-34/M;2023-10-27 13:57:49
FP-01-SP5-OCC-T003-P021;SP5.P-21/M;2023-10-27 13:57:50
FP-01-SP5-OCC-T003-P020;SP5.P-20/M;2023-10-27 13:57:51
FP-01-SP5-OCC-T003-P008;SP5.P-8/M;2023-10-27 13:57:52
FP-01-SP5-OCC-T003-P007;SP5.P-7/M;2023-10-27 13:57:53
FP-01-SP5-OCC-T002-P006;SP5.P-6/M;2023-10-27 13:57:54
FP-01-SP5-OCC-T002-A002;SP5.T-2/AGT/M;2023-10-27 13:57:55
FP-01-SP5-OCC-T001-P004;SP5.P-4/M;2023-10-27 13:57:56
FP-01-SP5-OCC-T001-A001;SP5.T-1/AGT/M;2023-10-27 13:57:57
FP-01-SP5-OCC-SR09;SP5.M-33/M;2023-10-27 13:57:58
FP-01-SP5-OCC-SR08;SP5.M-32/M;2023-10-27 13:57:59
FP-01-SP5-OCC-SR07;SP5.M-31/M;2023-10-27 13:58:00
FP-01-SP5-OCC-SR06;SP5.M-15/M;2023-10-27 13:58:01
FP-01-SP5-OCC-SR05;SP5.M-14/M;2023-10-27 13:58:02
FP-01-SP5-OCC-SR04;SP5.M-13/M;2023-10-27 13:58:03
FP-01-SP5-OCC-SR03;SP5.M-12/M;2023-10-27 13:58:04
FP-01-SP5-OCC-SR02;SP5.M-11/M;2023-10-27 13:58:05
FP-01-SP5-OCC-SC01;SP5.SCREW.M35-M36A/GM;2023-10-27 13:58:06
FP-01-SP5-OCC-PU01-TRSW;SP5.TRASH WELL/P.HYD/M;2023-10-27 13:58:07
FP-01-SP5-OCC-PU01-TRSW;SP5.TRASH WELL/HOIST/M;2023-10-27 13:58:08
FP-01-SP5-OCC-PU01-TRSW;SP5.TRASH WELL/TRVL/M;2023-10-27 13:58:09
FP-01-SP5-OCC-PU01-ROPE;SP5.M-4/M;2023-10-27 13:58:10
FP-01-SP5-OCC-PU01-RAGG;SP5.M-3/M;2023-10-27 13:58:11
FP-01-SP5-OCC-T004-P016;SP5.P-16/M;2023-10-27 13:58:12
FP-01-SP5-OCC-PU01-PALS;SP5.M-5/M;2023-10-27 13:58:13
FP-01-SP5-OCC-PU01-PAL2;SP5.M-5.2/M(SP5_M5_1_M);2023-10-27 13:58:14
FP-01-SP5-OCC-PU01-P195;SP5.P1.2/M(SP5_P1_1_M);2023-10-27 13:58:15
FP-01-SP5-OCC-PU01-P003;SP5.P-3/M;2023-10-27 13:58:16
FP-01-SP5-OCC-PU01-P002;SP5.P-2/M;2023-10-27 13:58:17
FP-01-SP5-OCC-PU01-P001;SP5.P-1/M;2023-10-27 13:58:18
FP-01-SP5-OCC-PU01;SP5.M-2/M;2023-10-27 13:58:19
