id;material_number;equipment_description;status;sort_field;unique_id;qr_code_link
EMO003468;10025880;MOTOR,AC,IDF-CHK11,TOSHIBA,225KW,400A,6P;Installed;PM3.REW.RER/GB/M;2060;https://www.safesave.info/MIC.php?id=Fajar-MotorList2060
EMO002672;;"AC MOTOR;380V,50Hz,263kW,6P,B3";Installed;PM3.REW.UNW/M;2061;https://www.safesave.info/MIC.php?id=Fajar-MotorList2061
EMO002796;;"AC MOTOR;380V,50Hz,3.7kW,4P";Installed;PM3.REW.UNW/M/BLW/M;2062;https://www.safesave.info/MIC.php?id=Fajar-MotorList2062
EMO001026;;"DC MOTOR;460V,40Hz,150kW,240A,3PHASE";Installed;PM3.G1.GB/M;2063;https://www.safesave.info/MIC.php?id=Fajar-MotorList2063
MGM000800;;"GR.MOTOR;0.37kW,i=200,PL32-0400-200S3,TU";Installed;PM3.G1.DYC2.DR/GM;2064;https://www.safesave.info/MIC.php?id=Fajar-MotorList2064
MGM000619;;GEAR MOTOR;Installed;PM3.G1.DYC8.DR/GM;2065;https://www.safesave.info/MIC.php?id=Fajar-MotorList2065
EMO003459;;"DC MOTOR;460V,60Hz,220kW,355A,3PHASE";Installed;PM3.G2.GB/M;2066;https://www.safesave.info/MIC.php?id=Fajar-MotorList2066
MGM000653;;GEAR MOTOR;Installed;PM3.DRY.GRP2.SW(O)2/GM;2067;https://www.safesave.info/MIC.php?id=Fajar-MotorList2067
MGM000620;;GEAR MOTOR;Installed;PM3.G2.DYC10.DR/GM;2068;https://www.safesave.info/MIC.php?id=Fajar-MotorList2068
MGM000621;;GEAR MOTOR;Installed;PM3.G2.DYC12.DR/GM;2069;https://www.safesave.info/MIC.php?id=Fajar-MotorList2069
MGM000622;;GEAR MOTOR;Installed;PM3.G2.DYC14.DR/GM;2070;https://www.safesave.info/MIC.php?id=Fajar-MotorList2070
EMO001028;;"MOTOR;375KW,583A";Installed;PM3.G3.GB/M;2071;https://www.safesave.info/MIC.php?id=Fajar-MotorList2071
MGM000625;;GEAR MOTOR;Installed;PM3.G3.DYC22.DR/GM;2072;https://www.safesave.info/MIC.php?id=Fajar-MotorList2072
MGM000626;;GEAR MOTOR;Installed;PM3.G3.DYC23.DR/GM;2073;https://www.safesave.info/MIC.php?id=Fajar-MotorList2073
MGM000888;;"GR.MOTOR;0.4kW,i=200,PL32-0400-200S3,TUN";Installed;PM3.G3.DYC24/DR/GM;2074;https://www.safesave.info/MIC.php?id=Fajar-MotorList2074
MGM000627;;GEAR MOTOR;Installed;PM3.G3.DYC25.DR/GM;2075;https://www.safesave.info/MIC.php?id=Fajar-MotorList2075
MGM000628;;GEAR MOTOR;Installed;PM3.G3.DYC33.DR/GM;2076;https://www.safesave.info/MIC.php?id=Fajar-MotorList2076
MGM000629;;GEAR MOTOR;Installed;PM3.G3.DYC34.DR/GM;2077;https://www.safesave.info/MIC.php?id=Fajar-MotorList2077
EMO001029;;"MOTOR;375KW,583A";Installed;PM3.G4.GB/M;2078;https://www.safesave.info/MIC.php?id=Fajar-MotorList2078
MGM000630;;GEAR MOTOR;Installed;PM3.G4.DYC35.DR/GM;2079;https://www.safesave.info/MIC.php?id=Fajar-MotorList2079
EMO001032;;MOTOR,L2882Z,RELIANCE,75KW,124A,460V;Installed;PM3.G5.GB/M;2080;https://www.safesave.info/MIC.php?id=Fajar-MotorList2080
EMO003365;;MOTOR;Installed;CH3.C22.P/M;2081;https://www.safesave.info/MIC.php?id=Fajar-MotorList2081
MGM000632;;GEAR MOTOR;Installed;PM3.G5.DYC50.DR/GM;2082;https://www.safesave.info/MIC.php?id=Fajar-MotorList2082
EMO001033;;"MOTOR;150KW,240A";Installed;PM3.G6.GB/M;2083;https://www.safesave.info/MIC.php?id=Fajar-MotorList2083
MGM000633;;GEAR MOTOR;Installed;PM3.G6.DYC51.DR/GM;2084;https://www.safesave.info/MIC.php?id=Fajar-MotorList2084
MGM000634;;GEAR MOTOR;Installed;PM3.G6.DYC52.DR/GM;2085;https://www.safesave.info/MIC.php?id=Fajar-MotorList2085
MGM000635;;GEAR MOTOR;Installed;PM3.G6.DYC53.DR/GM;2086;https://www.safesave.info/MIC.php?id=Fajar-MotorList2086
EMO001034;;"MOTOR;130KW,240A";Installed;PM3.G7.GB/M;2087;https://www.safesave.info/MIC.php?id=Fajar-MotorList2087
MGM000991;;"GR.MOTOR;0.37kW,i=200,PL32-0400-200S3,TU";Installed;PM3.G7.DYC59.DR/GM;2088;https://www.safesave.info/MIC.php?id=Fajar-MotorList2088
MGM000637;;GEAR MOTOR;Installed;PM3.G7.DYC61.DR/GM;2089;https://www.safesave.info/MIC.php?id=Fajar-MotorList2089
EMO001035;;"MOTOR;150KW,240A";Installed;PM3.G8.GB/M;2090;https://www.safesave.info/MIC.php?id=Fajar-MotorList2090
MGM000638;;GEAR MOTOR;Installed;PM3.G8.DYC67.DR/GM;2091;https://www.safesave.info/MIC.php?id=Fajar-MotorList2091
MGM000640;;GEAR MOTOR;Installed;PM3.G8.DYC68.DR/GM;2092;https://www.safesave.info/MIC.php?id=Fajar-MotorList2092
EMO002837;;"MOTOR;7.5KW,14A";Installed;PM3.SP.ER/M;2093;https://www.safesave.info/MIC.php?id=Fajar-MotorList2093
EMO001031;;MOTOR,L2882Z,RELIANCE,75KW,124A,460V;Installed;PM3.SP.R(BT)/GB/M;2094;https://www.safesave.info/MIC.php?id=Fajar-MotorList2094
EMO001030;;"MOTOR;110KW,180A";Installed;PM3.SP.R(TP)/GB/M;2095;https://www.safesave.info/MIC.php?id=Fajar-MotorList2095
MGM000497;;"GEAR MOTOR;0.55KW";Installed;PM3.SP.R(TP)DR/GM;2096;https://www.safesave.info/MIC.php?id=Fajar-MotorList2096
EMO002969;;MOTOR,AC,M2AA200MB4,ABB,37KW,71A,4P,380V;Installed;PM3-HOO-BL15-M;2097;https://www.safesave.info/MIC.php?id=Fajar-MotorList2097
EMO001037;;"MOTOR;110KW,180A";Installed;PM3.PPR.CYL/GB/M;2098;https://www.safesave.info/MIC.php?id=Fajar-MotorList2098
EMO003934;;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;PM3.PPR.ER/M;2099;https://www.safesave.info/MIC.php?id=Fajar-MotorList2099
MGM000481;;"GR.MOTOR;5.5kW,i=165,CHHM86195DBB165,CYC";Installed;PM3.REEL.PRAR/GM;2100;https://www.safesave.info/MIC.php?id=Fajar-MotorList2100
MGM000475;;"GR.MOTOR;0.4kW,i=200,PL32-0400-200S3,TUN";Installed;PM3.FDN.BR/DO/GM;2101;https://www.safesave.info/MIC.php?id=Fajar-MotorList2101
EMO001023;;"AC MOTOR;380V,50Hz,530kW,4P,5012Z,B3";Installed;PM3.FDN.DR/GB/M;2102;https://www.safesave.info/MIC.php?id=Fajar-MotorList2102
EMO001017;;"MOTOR;475KW,813A";Installed;PM3.FDN.SCR/GB/M;2103;https://www.safesave.info/MIC.php?id=Fajar-MotorList2103
EMO001025;;"AC MOTOR;460V,60Hz,375kW,4P";Installed;PM3.P1.PSR(BT)/GB/M;2104;https://www.safesave.info/MIC.php?id=Fajar-MotorList2104
EMO001019;;"MOTOR;220KW,355A";Installed;PM3.P1.PSR(TP)/GB/M;2105;https://www.safesave.info/MIC.php?id=Fajar-MotorList2105
EMO000828;;"DC MOTOR;460V,40Hz,150kW,240A,3PHASE";Installed;PM3.P1.PUR/GB/M;2106;https://www.safesave.info/MIC.php?id=Fajar-MotorList2106
MGM000744;;"GR.MOTOR;0.4kW,i=200,PL32-0400-200S3,TUN";Installed;PM3.P2.FR1/GM;2107;https://www.safesave.info/MIC.php?id=Fajar-MotorList2107
EMO001408;;"AC MOTOR;380V,50Hz,530kW,4P,5012Z,B3";Installed;PM3.P2.PSR(BT)/GB/M;2108;https://www.safesave.info/MIC.php?id=Fajar-MotorList2108
EMO001022;;"MOTOR;375KW,583A";Installed;PM3.P2.PSR(TP)/GB/M;2109;https://www.safesave.info/MIC.php?id=Fajar-MotorList2109
EMO000825;;"DC MOTOR;460V,75KW,124A";Installed;PM3.P2.FR(S)/GB/M;2110;https://www.safesave.info/MIC.php?id=Fajar-MotorList2110
MPU000867;10016175;PUMP,CR3-31A-FGJ-A-E HQQE,GRUNDFOS,3KW;Installed;PM3.P-FM-12;2111;https://www.safesave.info/MIC.php?id=Fajar-MotorList2111
MPU001299;10016175;PUMP,CR3-31A-FGJ-A-E HQQE,GRUNDFOS,3KW;Installed;PM3.P-FM-11;2112;https://www.safesave.info/MIC.php?id=Fajar-MotorList2112
MFB000095;10016348;"VACUUM BLOWER;G2002BH19437GH47,G DENVER";Installed;PM3-MCL-VF1;2113;https://www.safesave.info/MIC.php?id=Fajar-MotorList2113
EMO004877;10026633;MOTOR,SERVO,RML 14CA,KMF, 908-00006;Installed;PM3.MCL.BEAM3.BTM/M;2114;https://www.safesave.info/MIC.php?id=Fajar-MotorList2114
EMO004876;10026633;MOTOR,SERVO,RML 14CA,KMF, 908-00006;Installed;PM3.MCL.BEAM2.TOP/M;2115;https://www.safesave.info/MIC.php?id=Fajar-MotorList2115
EMO004875;10026633;MOTOR,SERVO,RML 14CA,KMF, 908-00006;Installed;PM3.MCL.BEAM1/M;2116;https://www.safesave.info/MIC.php?id=Fajar-MotorList2116
EMO002601;10010936;MOTOR,MF13ZA106,KONE,15KW,33A,2P,380V;Installed;SP3.CRN.KO.16T.A/M;2117;https://www.safesave.info/MIC.php?id=Fajar-MotorList2117
EMO003225;10010936;"AC MOTOR;380V,50HZ,15KW,31A,2P";Installed;SP3.CRN.KO.16T.B/M;2118;https://www.safesave.info/MIC.php?id=Fajar-MotorList2118
MGM000222;;"CRANE MOTOR;380V,0.45/0.11kW,1.7/0.9A";Installed;SP3.CRN.KO.16T.A/CT/M2;2119;https://www.safesave.info/MIC.php?id=Fajar-MotorList2119
MGM000223;;"CRANE MOTOR;380V,0.45/0.11kW,1.7/0.9A";Installed;SP3.CRN.KO.16T.B/CT/M2;2120;https://www.safesave.info/MIC.php?id=Fajar-MotorList2120
MGM000221;;MOTOR,KONE,2.2KW/0.55KW,5.6A/2.3A,2P/10P;Installed;SP3.CRN.KO.2X16T.LT1/GM;2121;https://www.safesave.info/MIC.php?id=Fajar-MotorList2121
MGM000652;;MOTOR,KONE,2.2KW/0.55KW,5.6A/2.3A,2P/10P;Installed;SP3.CRN.KO.2X16T.LT2/GM;2122;https://www.safesave.info/MIC.php?id=Fajar-MotorList2122
EMO003529;10010937;MOTOR,MF16Z-106N,KONE,30KW,57A;Installed;FIN3.CRN.KO.30T.B/M;2123;https://www.safesave.info/MIC.php?id=Fajar-MotorList2123
EMO002604;;MOTOR;Installed;PM3.CRN.KO.60T.B/M;2124;https://www.safesave.info/MIC.php?id=Fajar-MotorList2124
EMO003820;10010937;MOTOR,MF16Z-106N,KONE,30KW,57A;Installed;PM3.CRN.KO.30T.C/M;2125;https://www.safesave.info/MIC.php?id=Fajar-MotorList2125
EMO003168;10010932;"CRANE MOTOR;MF07ZC104-138030045TK,KONE";Installed;PM3.CRN.KO.30T.A/CT/M;2126;https://www.safesave.info/MIC.php?id=Fajar-MotorList2126
MGM000227;;"CRANE MOTOR;MF07ZC104-138030045TK,KONE";Installed;PM3.CRN.KO.30T.B/CT/M;2127;https://www.safesave.info/MIC.php?id=Fajar-MotorList2127
MGM000228;;"CRANE MOTOR;MF07ZC104-138030045TK,KONE";Installed;PM3.CRN.KO.30T.C/CT/M;2128;https://www.safesave.info/MIC.php?id=Fajar-MotorList2128
MGM000224;;GEARMOTOR LONG TRAVEL 1;Installed;PM3.CRN.KO.30-60-30T/LT1/GM;2129;https://www.safesave.info/MIC.php?id=Fajar-MotorList2129
EMO003874;10010935;"CRANE MOTOR;MF13M-208-13901003,3.7KW,8.5";Installed;PM3.CRN.KO.30-60-30T/LT2/M;2130;https://www.safesave.info/MIC.php?id=Fajar-MotorList2130
EMO002605;10010937;"AC MOTOR;380V,50HZ,30kW,4P";Installed;FIN3.CRN.KO.30T.A/M;2131;https://www.safesave.info/MIC.php?id=Fajar-MotorList2131
EMO002603;10010937;MOTOR,MF16Z-106N,KONE,30KW,57A;Installed;FIN3.CRN.KO.30T.B/M;2132;https://www.safesave.info/MIC.php?id=Fajar-MotorList2132
MGM000231;;GEARMOTOR CROSS TRAVEL 1;Installed;FIN3.CRN.KO.30T.A/CT/GM;2133;https://www.safesave.info/MIC.php?id=Fajar-MotorList2133
EMO001703;10010933;MOTOR,MF09LB104-132030066TK,KONE,1,3/0,3;Installed;PM3.PMA.CRN3-XTR2/M;2134;https://www.safesave.info/MIC.php?id=Fajar-MotorList2134
EMO003867;10010879;"CRANE MOTOR;380V,50Hz,3.7kW,8.5A";Installed;FIN3.CRN.KO.2X30T/LT2/GM/M;2135;https://www.safesave.info/MIC.php?id=Fajar-MotorList2135
MGM000324;;GEARMOTOR;Installed;PM3.RH-03/GM;2136;https://www.safesave.info/MIC.php?id=Fajar-MotorList2136
MGM000326;;GEARMOTOR;Installed;PM3.RH-05/GM;2137;https://www.safesave.info/MIC.php?id=Fajar-MotorList2137
MGM000327;;GEARMOTOR;Installed;PM3.RH-06/GM;2138;https://www.safesave.info/MIC.php?id=Fajar-MotorList2138
MGM000328;;GEARMOTOR;Installed;PM3.RH-07/GM;2139;https://www.safesave.info/MIC.php?id=Fajar-MotorList2139
EMO003955;;"AC MOTOR;380V,50Hz,3kW,4P,100L,B5";Installed;PM3.RH-08/GM/M;2140;https://www.safesave.info/MIC.php?id=Fajar-MotorList2140
MGM000331;;GEARMOTOR;Installed;PM3.RH-10/GM;2141;https://www.safesave.info/MIC.php?id=Fajar-MotorList2141
MGM000346;;GEARMOTOR;Installed;PM3.RH-11/GM;2142;https://www.safesave.info/MIC.php?id=Fajar-MotorList2142
EMO005162;;"DC MOTOR;24V,118W,6.5A,B-S1-IP54,GEFECNE";Installed;PM3.RHD.STRP/M_STRAP_FEED;2143;https://www.safesave.info/MIC.php?id=Fajar-MotorList2143
EMO005163;;"DC MOTOR;24V,118W,6.5A,B-S1-IP54,GEFECNE";Installed;PM3.RHD.STRP/M_TENSION;2144;https://www.safesave.info/MIC.php?id=Fajar-MotorList2144
EMO005164;;"DC MOTOR;24V,118W,6.5A,B-S1-IP54,GEFECNE";Installed;PM3.RHD.STRP/M_CUT_DIE;2145;https://www.safesave.info/MIC.php?id=Fajar-MotorList2145
MGM000734;;"GR.MOTOR;0.4kW,i=200,PL32-0400-200S3,TUN";Installed;PM3.G2.DYC16.DR/GM;2146;https://www.safesave.info/MIC.php?id=Fajar-MotorList2146
MGM000780;;"GR.MOTOR;0.4kW,i=200,PL32-0400-200S3,TUN";Installed;PM3.G2.DYC18.DR/GM;2147;https://www.safesave.info/MIC.php?id=Fajar-MotorList2147
MGM000330;;GEARMOTOR RH09;Installed;PM3.RH-09/GM;2148;https://www.safesave.info/MIC.php?id=Fajar-MotorList2148
MGB000450;10010879;GEAR BOX,GM 8A-56, U/CRANE 2X30T;Installed;FIN3.CRN.KO.2X30T/LT1/GM;2149;https://www.safesave.info/MIC.php?id=Fajar-MotorList2149
EMO005243;10022957;"AC MOTOR;380V,50Hz,4kW,4P,112M,B3";Available;PM3.RWD/BLW(VACUUM)/M;2150;https://www.safesave.info/MIC.php?id=Fajar-MotorList2150
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
