id;material_number;equipment_description;status;sort_field;unique_id;qr_code_link
EMO000956;;"MOTOR AC;18,5KW;37A;4P;380V;B";Installed;PM3-DT1/DP1/M;1940;https://www.safesave.info/MIC.php?id=Fajar-MotorList1940
EMO003368;;MOTOR;Installed;PM3.RH-09/M2;1941;https://www.safesave.info/MIC.php?id=Fajar-MotorList1941
EMO003367;;MOTOR;Installed;PM3.RH-04/M2;1942;https://www.safesave.info/MIC.php?id=Fajar-MotorList1942
EMO002590;10010806;"AC MOTOR;380V,50Hz,2.2kW,6P,112M,B3";Installed;PM3.P/LUB/P1/M;1943;https://www.safesave.info/MIC.php?id=Fajar-MotorList1943
EMO002589;;"AC MOTOR;380V,50Hz,2.2kW,6P,112M,B3";Installed;PM3.P/LUB/P2/M;1944;https://www.safesave.info/MIC.php?id=Fajar-MotorList1944
EMO000026;10023877;"AC MOTOR;380V,50Hz,2.2kW,6P,112M,B3";Installed;PM3.P/LUB/P3/M;1945;https://www.safesave.info/MIC.php?id=Fajar-MotorList1945
EMO002591;;"AC MOTOR;380V,50Hz,7.5kW,6P,160M,B3";Installed;PM3.T1.LUB/P1/M;1946;https://www.safesave.info/MIC.php?id=Fajar-MotorList1946
EMO002592;;"AC MOTOR;380V,50Hz,7.5kW,6P,160M,B3";Installed;PM3.T1.LUB/P2/M;1947;https://www.safesave.info/MIC.php?id=Fajar-MotorList1947
EMO002593;;"AC MOTOR;380V,50Hz,7.5kW,6P,160M,B3";Installed;PM3.T2.LUB/P1/M;1948;https://www.safesave.info/MIC.php?id=Fajar-MotorList1948
EMO000090;10021420;MOTOR AC,30KW,59A,4P,380V,ROTORNI;Installed;FIN3.RLHDLG/HP3-2B/M;1949;https://www.safesave.info/MIC.php?id=Fajar-MotorList1949
EMO002566;;MOTOR;Installed;FIN3.RLHDLG/HP3-2A/M;1950;https://www.safesave.info/MIC.php?id=Fajar-MotorList1950
EMO003369;;MOTOR;Installed;PM3.RH-14.FC1/M;1951;https://www.safesave.info/MIC.php?id=Fajar-MotorList1951
EMO003370;;MOTOR;Installed;PM3.RH-14.FC2/M;1952;https://www.safesave.info/MIC.php?id=Fajar-MotorList1952
EMO002565;;"AC MOTOR;380V,50Hz,7.5kW,6P,160M,B3";Installed;PM3.P1/HP3-1B/M;1953;https://www.safesave.info/MIC.php?id=Fajar-MotorList1953
EMO002564;;"AC MOTOR;380V,50Hz,7.5kW,6P,160M,B3";Installed;PM3.P1/HP3-1A/M;1954;https://www.safesave.info/MIC.php?id=Fajar-MotorList1954
EMO002626;;MOTOR;Installed;PM3.H-12;1955;https://www.safesave.info/MIC.php?id=Fajar-MotorList1955
EMO000229;10010807;"AC MOTOR;380V,50Hz,3.7kW,2P,112M,B3";Installed;PM3.H-11;1956;https://www.safesave.info/MIC.php?id=Fajar-MotorList1956
EMO002624;10010807;"AC MOTOR;380V,50Hz,3.7kW,2P,112M,B3";Installed;PM3.H-10;1957;https://www.safesave.info/MIC.php?id=Fajar-MotorList1957
EMO000774;10010807;"AC MOTOR;380V,50Hz,3.7kW,2P,112M,B3";Installed;PM3.H-09;1958;https://www.safesave.info/MIC.php?id=Fajar-MotorList1958
EMO001944;10010662;MOTOR,AEEB,TECO,110kw,50HZ,4P,380V;Installed;PM3.H-08;1959;https://www.safesave.info/MIC.php?id=Fajar-MotorList1959
EMO002620;10010653;MOTOR,AC,AEEB280M,TECO,110KW,205A,4P380V;Installed;PM3.H-07;1960;https://www.safesave.info/MIC.php?id=Fajar-MotorList1960
EMO002622;10010653;MOTOR,AC,AEEB280M,TECO,110KW,205A,4P380V;Installed;PM3.H-06;1961;https://www.safesave.info/MIC.php?id=Fajar-MotorList1961
