id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO001205;FP-01-SP5-WRS-T100-P059;;HUADA,Y2-280S-4,75KW,140A,4P;Installed;P-SS-2/M;2501;https://www.safesave.info/MIC.php?id=Fajar-MotorList2501;2023-10-27 13:57:15
EMO001210;FP-01-SP5-WRS-T025-P064;;TECO,AEEBVB,F200L,30KW,57.6A,2P,380V,?55;Installed;SP5.P-FS-2A/M;2502;https://www.safesave.info/MIC.php?id=Fajar-MotorList2502;2023-10-27 13:57:16
EMO001209;FP-01-SP5-WRS-T025-P063;;HUADA,Y2-180M,22KW,14.1A,2P,380V, ?48;Installed;SP5.P-FS-2/M;2503;https://www.safesave.info/MIC.php?id=Fajar-MotorList2503;2023-10-27 13:57:17
EMO001208;FP-01-SP5-WRS-T025-P062;10010650;MOTOR,AC,AEEB200L,TECO,37KW,71A,2P,380V, ?55;Installed;SP5.P-FS-1/M;2504;https://www.safesave.info/MIC.php?id=Fajar-MotorList2504;2023-10-27 13:57:18
EMO004077;FP-01-SP5-WRS-T024-P058;10031645;"AC MOTOR;380V,50Hz,75kW,4P,280S,B3";Installed;P-SS-1/M;2505;https://www.safesave.info/MIC.php?id=Fajar-MotorList2505;2023-10-27 13:57:19
EMO001199;FP-01-SP5-WRS-T021-P030;;"?60; HUADA; Y2; 225S-4; 37KW; 69A; 4P;380V";Installed;SP5.P-30/M;2506;https://www.safesave.info/MIC.php?id=Fajar-MotorList2506;2023-10-27 13:57:20
EMO001198;FP-01-SP5-WRS-T021-A004;;"TECO; AEEBKB; 200LC; 22KW; 41A; 4P; 380V";Installed;SP5.T-7.AGT/M;2507;https://www.safesave.info/MIC.php?id=Fajar-MotorList2507;2023-10-27 13:57:21
EMO001203;FP-01-SP5-WRS-T020-P035;;HUADA,Y2-180M,185KW,36.5A,380V,4P, ?48;Installed;SP5.P-35/M;2508;https://www.safesave.info/MIC.php?id=Fajar-MotorList2508;2023-10-27 13:57:22
EMO001202;FP-01-SP5-WRS-T019-P029;;"HUADA; Y2; 280M-2; 90KW; 160A; 380V";Installed;SP5.P-29/M;2509;https://www.safesave.info/MIC.php?id=Fajar-MotorList2509;2023-10-27 13:57:23
EMO001201;FP-01-SP5-WRS-T019-P028;;"HUADA; Y2; 280S-4; 75KW; 140A; 4P;380V";Installed;SP5.P-28/M;2510;https://www.safesave.info/MIC.php?id=Fajar-MotorList2510;2023-10-27 13:57:24
