id;emo;tag_name
FP-01-PM3-DRY-SZPR-SPRB;EMO001031;PM3.SP.R(BT)/GB/M
FP-01-PM3-DRY-SZPR-SPRT;EMO001030;PM3.SP.R(TP)/GB/M
FP-01-PM3-DRY-SZPR-SPRT;MGM000497;PM3.SP.R(TP)DR/GM
FP-01-PM3-HOO-BL15;EMO002969;PM3-HOO-BL15-M
FP-01-PM3-REL-PPRL-CYL1;EMO001037;PM3.PPR.CYL/GB/M
FP-01-PM3-REL-PPRL-ER01;EMO003934;PM3.PPR.ER/M
FP-01-PM3-REL-PPRL-PRAR;MGM000481;PM3.REEL.PRAR/GM
FP-01-PM3-WET-FDNR-BR01;MGM000475;PM3.FDN.BR/DO/GM
FP-01-PM3-WET-FDNR-DR01;EMO001023;PM3.FDN.DR/GB/M
FP-01-PM3-WET-FDNR-SCR1;EMO001017;PM3.FDN.SCR/GB/M
FP-01-PM3-WET-PRS1-PSRB;EMO001025;PM3.P1.PSR(BT)/GB/M
FP-01-PM3-WET-PRS1-PSRT;EMO001019;PM3.P1.PSR(TP)/GB/M
FP-01-PM3-WET-PRS1-PUR1;EMO000828;PM3.P1.PUR/GB/M
FP-01-PM3-WET-PRS2-FR01;MGM000744;PM3.P2.FR1/GM
FP-01-PM3-WET-PRS2-PSRB;EMO001408;PM3.P2.PSR(BT)/GB/M
FP-01-PM3-WET-PRS2-PSRT;EMO001022;PM3.P2.PSR(TP)/GB/M
FP-01-PM3-WET-PRS2-SFR1;EMO000825;PM3.P2.FR(S)/GB/M
FP-01-PM3-WRS-T106-P120;MPU000867;PM3.P-FM-12
FP-01-PM3-WRS-T106-P119;MPU001299;PM3.P-FM-11
FP-01-PM3-MCL-BL16;MFB000095;PM3-MCL-VF1
FP-01-PM3-MCL-GRP2-MCL2B;EMO004877;PM3.MCL.BEAM3.BTM/M
FP-01-PM3-MCL-GRP2-MCL2A;EMO004876;PM3.MCL.BEAM2.TOP/M
FP-01-PM3-MCL-GRP1-MCL1;EMO004875;PM3.MCL.BEAM1/M
FP-01-SP3-SPA-CRN1-HST1;EMO002601;SP3.CRN.KO.16T.A/M
FP-01-SP3-SPA-CRN1-HST2;EMO003225;SP3.CRN.KO.16T.B/M
FP-01-SP3-SPA-CRN1-XTR1;MGM000222;SP3.CRN.KO.16T.A/CT/M2
FP-01-SP3-SPA-CRN1-XTR2;MGM000223;SP3.CRN.KO.16T.B/CT/M2
FP-01-SP3-SPA-CRN1-LTR1;MGM000221;SP3.CRN.KO.2X16T.LT1/GM
FP-01-SP3-SPA-CRN1-LTR2;MGM000652;SP3.CRN.KO.2X16T.LT2/GM
FP-01-PM3-PMA-CRN2-HST1;EMO003529;FIN3.CRN.KO.30T.B/M
FP-01-PM3-PMA-CRN2-HST2;EMO002604;PM3.CRN.KO.60T.B/M
FP-01-PM3-PMA-CRN2-HST3;EMO003820;PM3.CRN.KO.30T.C/M
FP-01-PM3-PMA-CRN2-XTR1;EMO003168;PM3.CRN.KO.30T.A/CT/M
FP-01-PM3-PMA-CRN2-XTR2;MGM000227;PM3.CRN.KO.30T.B/CT/M
FP-01-PM3-PMA-CRN2-XTR3;MGM000228;PM3.CRN.KO.30T.C/CT/M
FP-01-PM3-PMA-CRN2-LTR1;MGM000224;PM3.CRN.KO.30-60-30T/LT1/GM
FP-01-PM3-PMA-CRN2-LTR2;EMO003874;PM3.CRN.KO.30-60-30T/LT2/M
FP-01-PM3-PMA-CRN3-HST1;EMO002605;FIN3.CRN.KO.30T.A/M
FP-01-PM3-PMA-CRN3-HST2;EMO002603;FIN3.CRN.KO.30T.B/M
FP-01-PM3-PMA-CRN3-XTR1;MGM000231;FIN3.CRN.KO.30T.A/CT/GM
FP-01-PM3-PMA-CRN3-XTR2;EMO001703;PM3.PMA.CRN3-XTR2/M
FP-01-PM3-PMA-CRN3-LTR2;EMO003867;FIN3.CRN.KO.2X30T/LT2/GM/M
FP-01-PM3-RHD-CN03;MGM000324;PM3.RH-03/GM
FP-01-PM3-RHD-CN05;MGM000326;PM3.RH-05/GM
FP-01-PM3-RHD-STRP;MGM000327;PM3.RH-06/GM
FP-01-PM3-RHD-CN07;MGM000328;PM3.RH-07/GM
FP-01-PM3-RHD-CN08;EMO003955;PM3.RH-08/GM/M
FP-01-PM3-RHD-CN10;MGM000331;PM3.RH-10/GM
FP-01-PM3-RHD-CN11;MGM000346;PM3.RH-11/GM
FP-01-PM3-RHD-STRP;EMO005162;PM3.RHD.STRP/M_STRAP_FEED
FP-01-PM3-RHD-STRP;EMO005163;PM3.RHD.STRP/M_TENSION
FP-01-PM3-RHD-STRP;EMO005164;PM3.RHD.STRP/M_CUT_DIE
FP-01-PM3-DRY-GRP2-DC16;MGM000734;PM3.G2.DYC16.DR/GM
FP-01-PM3-DRY-GRP2-DC18;MGM000780;PM3.G2.DYC18.DR/GM
FP-01-PM3-RHD-CN09;MGM000330;PM3.RH-09/GM
FP-01-PM3-PMA-CRN3-LTR1;MGB000450;FIN3.CRN.KO.2X30T/LT1/GM
FP-01-PM3-CUT-RWD1-BL19;EMO005243;PM3.RWD/BLW(VACUUM)/M
