emo;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO002899;TECO;P9524601;AEEB;45;kW;380;93;50;4;1465;6313;6213;225M;60;3;;;55;F;;Delta;Available;;;;;356;225;;Internal;Horizontal
EMO001881;TECO;;AEEB;15;kW;380;30;50;6;965;6311;6310;180L;48;3;;;54;F;;Delta;Not Available;;;;279;279;180;;Internal;Horizontal
EMO001015;TECO;D7A370-1;ACT-VB001;600;kW;3000;146;50;6;986;NU326;6322;500 A;;3;;;55;F;S1;;Available;;;;1120;900;500;;;Horizontal
EMO001014;TECO;D57312-1;ACT;600;kW;3000;140;50;6;984;NU224;6322;450 C;;3;;;55;F;S1;;Available;;;;1120;900;450;;;Horizontal
EMO001637;TECO;MN600065-1;AEEB;175;HP;380;250;50;6;975;NU320;6316;315 M;;3;;;55;F;S1;Delta;Available;;;;410;510;315;;;Horizontal
EMO001012;TECO;C56103-4;AEEB;75;kW;380;143;50;6;975;NU318;6316;280 MC;;3;;;55;F;S1;Delta;Available;;;;419;457;280;;;Horizontal
EMO003933;Marathon;WX22001915-1000J;HCM;300;kW;3000;74.7;50;6;990;NU326;6326;400 HCM;;3;0.82;0.94;55;F;S1;;Available;;;;1000;700;400;;;Horizontal
EMO003671;Marathon;32000039180101;HCM400;300;kW;3000;75.4;50;6;990;NU326;6326;400;;3;;;55;F;S1;Start;Available;;;;800;650;400;;Internal;Horizontal
EMO001009;TECO;D74382;AEJT;410;kW;3000;97.1;50;6;985;NU324;6322;450 M;;3;;;55;F;S1;;Available;;;;;;450;;;Horizontal
EMO001008;TECO;H7105109049;AEEB;37;kW;380;65.8;50;2;2900;6312;6212;200L;55;3;;;55;F;;Delta;Available;;;;305;318;200;;Internal;Horizontal
EMO003113;TECO;;AEEBKB;30;kW;380;53.8;50;4;1468;6312;6212;200 L;;3;0.85;;55;F;S1;Delta;Available;;;;;;200;;;Vertical
EMO000965;TECO;7791310008;AEEB;30;kW;380;57;50;4;1470;6312;6212;200 L;;3;;;55;F;S1;Delta;Available;;;;;;200;;;Vertical
EMO002167;ABB;3259204;M2BA;45;kW;380;88;50;4;1470;6313;6313;225 M;60;3;0.84;;55;F;S1;Delta;Available;;;;311;356;225;;;Horizontal
EMO000963;ABB;;QU;4;kW;380;8.6;50;4;1435;;;112 M;28;3;0.84;;55;F;S1;Delta;Not Available;;;;140;190;112;;;Horizontal
EMO003843;ABB;3175326/3783VM;HXR;55;kW;380;107;50;4;1475;6312;6312;225 S;60;3;0.80;;55;F;S1;Delta;Available;;;;"286 
311";356;225;;;Horizontal
EMO005039;ABB;818344;QU;4;kW;380;8.6;50;4;1435;;;112M;28;3;;;55;F;S1;Delta;Not Available;;;;140;190;112;;;Horizontal
EMO001275;HUADA;;Y2;4;kW;380;8.6;50;4;1430;;;112;28;3;;;55;F;S1;Delta;Not Available;;;;140;190;112;;;Horizontal
EMO003995;Marathon;AK15192301J;HJN1;11;kW;380;22;;4;1455;;;160M;;3;0.84;;55;F;;Delta;Available;;;;210;254;225;;Internal;Horizontal
EMO003288;TECO;H61050443;AEEB;11;kW;380;20.9;50;4;1485;6309;6307;160;42;3;;;55;F;;Delta;Not Available;;;;215;254;160;;Internal;Horizontal
EMO003099;TECO;243080;AEEB;18.5;kW;380;37;50;4;1455;6311;6310;180 M;48;3;;;55;F;S1;Delta;Not Available;;;;241;279;180;;;Horizontal
EMO000956;ASEA;;;18.5;kW;380;37;50;4;1450;6310;6309;180 M;48;3;;;55;F;S1;Delta;Available;;;;241;279;180;;Internal;Horizontal
EMO003368;SEW;;KF76;0.75;kW;380;2.1;50;4;1400;;;;;3;;;55;F;S1;;Not Available;;;;;;;;;Vertical
EMO003367;SEW;;KF76;0.75;kW;380;2.1;50;4;1400;;;;;3;;;55;F;S1;;Not Available;;;;;;;;;Vertical
