id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO000133;FP-01-PM1-BRS-T190-P200;;"MOTOR AC;55KW;103A;4P;380V;B";Installed;PM1.BR.C5/P1/M;368;https://www.safesave.info/MIC.php?id=Fajar-MotorList368;2023-10-26 14:51:05
EMO000134;FP-01-PM1-BRS-T191-P201;;"MOTOR AC;75KW;141A;4P;380V;B";Installed;PM1.BR.C6/P1/M;369;https://www.safesave.info/MIC.php?id=Fajar-MotorList369;2023-10-26 14:51:06
EMO000135;FP-01-PM1-BRS-T191-P202;;"MOTOR AC;30KW;59A;4P;380V;B";Installed;PM1.BR.C6/P2/M;370;https://www.safesave.info/MIC.php?id=Fajar-MotorList370;2023-10-26 14:51:07
EMO002645;FP-01-CH1-COT-SPLY-P331;10010918;"AC MOTOR;380V,50HZ,11KW,4P,32A";Installed;SUPLY PUMP LATEX XQ/M;371;https://www.safesave.info/MIC.php?id=Fajar-MotorList371;2023-10-26 14:51:08
EMO003110;FP-01-PM1-COT-T339-P355;;MOTOR,AC,AEEB180L,TECO,11KW,21.5A,4P380V;Installed;PM1.COT.TWR3/P2/M;372;https://www.safesave.info/MIC.php?id=Fajar-MotorList372;2023-10-26 14:51:09
EMO001776;FP-01-PM1-COT-IRD1-BL21;;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";Installed;PM1.IRD1.FDF1/M;373;https://www.safesave.info/MIC.php?id=Fajar-MotorList373;2023-10-26 14:51:10
EMO003154;FP-01-PM1-COT-IRD1-BL22;;"AC MOTOR;380V,50HZ,2.2KW,2P,B";Installed;PM1.IRD1.FDF2/M;374;https://www.safesave.info/MIC.php?id=Fajar-MotorList374;2023-10-26 14:51:11
EMO003278;FP-01-PM1-COT-IRD1-BL23;;"MOTOR;15KW;29,5A";Installed;PM1.IRD1.FDF3/M;375;https://www.safesave.info/MIC.php?id=Fajar-MotorList375;2023-10-26 14:51:12
EMO002704;FP-01-PM1-COT-IRD2-BL24;;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";Installed;PM1.IRD2.FDF1/M;376;https://www.safesave.info/MIC.php?id=Fajar-MotorList376;2023-10-26 14:51:13
EMO003279;FP-01-PM1-COT-IRD2-BL25;;"MOTOR;2,2KW;4,8A";Installed;PM1.IRD2.FDF2/M;377;https://www.safesave.info/MIC.php?id=Fajar-MotorList377;2023-10-26 14:51:14
EMO003156;FP-01-PM1-COT-T206-P207;;MOTOR;Installed;PM1.COT.T(STA)1/P1/M;378;https://www.safesave.info/MIC.php?id=Fajar-MotorList378;2023-10-26 14:51:15
EMO003749;FP-01-PM1-COT-COAT;;"AC MOTOR;380V,50Hz,3Kw,4P";Installed;PM1.COT.BMB2.HP1/M;379;https://www.safesave.info/MIC.php?id=Fajar-MotorList379;2023-10-26 14:51:16
EMO003750;FP-01-PM1-COT-COAT;;"AC MOTOR;380V,50Hz,3Kw,4P";Installed;PM1.COT.BMB2.HP2/M;380;https://www.safesave.info/MIC.php?id=Fajar-MotorList380;2023-10-26 14:51:17
EMO000152;FP-01-PM1-COT-ATRN-BL09;;"MOTOR AC;55KW;102A;4P;380V;B";Installed;PM1.AT.FDF/M;381;https://www.safesave.info/MIC.php?id=Fajar-MotorList381;2023-10-26 14:51:18
