"id";"tag_name";"created_at";"updated_at"
"FP-01-CH3-ALM-T088-P083";"CH3.C03/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-ALM-T089-A027";"CH3.MC01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-ALM-T089-P085";"CH3.C06/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-ALM-T089-P086";"CH3.C06A/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-CAT-T103-A031";"CH3.CAT.MIXING TANK/MGM";"2023-10-21 12:19:21";NULL
"FP-01-CH3-CAT-T103-P112";"CH3.CATIONIC PUMP/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-CN03";"CH3.3CSC01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T087-A026";"CH3.MC.16/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T087-P081";"CH3.C.17/GM";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T087-P082";"CH3.C.27/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T090-A028";"CH3.3C.DF01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T091-A029";"CH3.MC13/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T091-P087";"CH3.C25/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T091-P125";"CH3.C25.P2/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T105-A033";"CH3.C21.P/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T105-P116";"CH3.C22.P/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-STA-T105-P117";"CH3.C23.P/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-WRS-T085-P078";"CH3.3CPHW01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-WRS-T085-P079";"CH3.3CPHW02/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-WRS-T085-P080";"CH3.3CPHW03/M";"2023-10-21 12:19:21";NULL
"FP-01-CH3-WRS-T103-P111";"CH3.SUMPIT TANK/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-ALM-A850";"CH8.ALM/CH8AS04";"2023-10-21 12:19:21";NULL
"FP-01-CH8-ALM-A860";"CH8.ALM.CH8AS05/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-ALM-P850";"CH8.ALM.CH8PC04/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-ALM-P851";"CH8.ALM.CH8PC05/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-ALM-P860";"CH8.ALM.CH8PV06/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-ALM-P861";"CH8.ALM.CH8PV07/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CAT-A870";"CH8.CAT/CH8MAM02";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CAT-A880";"CH8.CAT.CH8MAS06/M";"2023-10-21 12:19:21";NULL
