id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO003249;FP-01-SP8-OCC-A020;;MARATHON,HJN1,160L-6,7.5KW,17A,6P,380V;Installed;SP8.OCC/A-2(M);3803;https://www.safesave.info/MIC.php?id=Fajar-MotorList3803;2023-10-21 12:19:21
EMO004172;FP-01-SP8-OCC-A030;;MARATHON,HJN1,200L-6,22KW,45A,6P,380V;Installed;SP8.OCC/A-4-1(M);3804;https://www.safesave.info/MIC.php?id=Fajar-MotorList3804;2023-10-21 12:19:21
EMO004171;FP-01-SP8-OCC-A040;;MARATHON,HJN1,200L-6,22KW,45A,6P,380V;Installed;SP8.OCC/A-4(M);3805;https://www.safesave.info/MIC.php?id=Fajar-MotorList3805;2023-10-21 12:19:21
EMO004361;FP-01-SP8-OCC-AP10;;TECO,AEBCRA,300KW,310A,6P,3KV,630H;Installed;SP8.OCC/M-2(M);3806;https://www.safesave.info/MIC.php?id=Fajar-MotorList3806;2023-10-21 12:19:21
EMO004345;FP-01-SP8-OCC-CN10;;NORD,SK132M4,7.50KW,15.3A,4P,380V;Installed;SP8.OCC/M-1A(M);3807;https://www.safesave.info/MIC.php?id=Fajar-MotorList3807;2023-10-21 12:19:21
EMO004355;FP-01-SP8-OCC-CN11;;NORD,DK200L-4,30KW,57.6A,4P;Installed;SP8.OCC/M-1(M);3808;https://www.safesave.info/MIC.php?id=Fajar-MotorList3808;2023-10-21 12:19:21
EMO004632;FP-01-SP8-OCC-DP01-AP11;;ABB,M2,BAX,200MLB,22KW,46.7A,4P,380V;Installed;SP8_DP_AP11_M;3809;https://www.safesave.info/MIC.php?id=Fajar-MotorList3809;2023-10-21 12:19:21
EMO004633;FP-01-SP8-OCC-DP01-AP12;;ABB,M2,BAX,200MLB,22KW,46.7A,4P,380V;Installed;SP8_DP_AP12_M;3810;https://www.safesave.info/MIC.php?id=Fajar-MotorList3810;2023-10-21 12:19:21
EMO004630;FP-01-SP8-OCC-DP01-CN12;;TAIMEN,180L,22KW,43A,4P,380V;Installed;SP8_DP_CN12_M;3811;https://www.safesave.info/MIC.php?id=Fajar-MotorList3811;2023-10-21 12:19:21
EMO004631;FP-01-SP8-OCC-DP01-CN13;;TAIMEN,180L,22KW,43A,4P,380V;Installed;SP8_DP_CN13_M;3812;https://www.safesave.info/MIC.php?id=Fajar-MotorList3812;2023-10-21 12:19:21
EMO004634;FP-01-SP8-OCC-DP01-MD01;;NMI,400LA-BAS,900KW,205A,4P,3KV;Installed;SP8_DP_MD01_M;3813;https://www.safesave.info/MIC.php?id=Fajar-MotorList3813;2023-10-21 12:19:21
EMO004635;FP-01-SP8-OCC-DP01-MD02;;NMI,400LA-BAS,900KW,205A,4P,3KV;Installed;SP8_DP_MD02_M;3814;https://www.safesave.info/MIC.php?id=Fajar-MotorList3814;2023-10-21 12:19:21
EMO004636;FP-01-SP8-OCC-DP01-OU11;;BV,4A2-112,N4,B35,4KW,6.28A,4P,400V;Installed;SP8_DP_OU11_M;3815;https://www.safesave.info/MIC.php?id=Fajar-MotorList3815;2023-10-21 12:19:21
EMO004637;FP-01-SP8-OCC-DP01-OU12;;BV,4A2-112,N4,B35,4KW,6.28A,4P,400V;Installed;SP8_DP_OU12_M;3816;https://www.safesave.info/MIC.php?id=Fajar-MotorList3816;2023-10-21 12:19:21
EMO004638;FP-01-SP8-OCC-DP01-PP15;;ABB,M3,BP355,LKB81,315KW,611A,6P,IMB3-IMLOOL;Installed;SP8_DP_PP15_M;3817;https://www.safesave.info/MIC.php?id=Fajar-MotorList3817;2023-10-21 12:19:21
EMO004639;FP-01-SP8-OCC-DP01-PP16;;ABB,M3,BP355,LKB81,315KW,611A,6P,IMB3-IMLOOL;Installed;SP8_DP_PP16_M;3818;https://www.safesave.info/MIC.php?id=Fajar-MotorList3818;2023-10-21 12:19:21
EMO004449;FP-01-SP8-OCC-DRS1;;SEW,160M,11KW,23A,4P,380V;Installed;SP8.OCC/M-5A(M);3819;https://www.safesave.info/MIC.php?id=Fajar-MotorList3819;2023-10-21 12:19:21
EMO005019;FP-01-PM8-WRE-BTWR-DO08;;"AC MOTOR;380V,50Hz,0.37kW,6P";Installed;PM8.WR–2–2/M;3820;https://www.safesave.info/MIC.php?id=Fajar-MotorList3820;2023-10-21 12:19:21
EMO004450;FP-01-SP8-OCC-DRS2;;SEW,160M,11KW,23A,4P,380V;Installed;SP8.OCC/M-5B(M);3821;https://www.safesave.info/MIC.php?id=Fajar-MotorList3821;2023-10-21 12:19:21
EMO004606;FP-01-PM8-WRE-TPWR-DO03;10036587;"AC MOTOR;380V,50Hz,0.15kW,8P,80M,B5";Installed;PM8.W-DR-2–2/M;3822;https://www.safesave.info/MIC.php?id=Fajar-MotorList3822;2023-10-21 12:19:21
EMO004367;FP-01-SP8-OCC-FR10;;MARATHON,HJN1,355M1-8,132KW,264A,8P,380V;Installed;SP8.OCC/M-10A/M;3823;https://www.safesave.info/MIC.php?id=Fajar-MotorList3823;2023-10-21 12:19:21
EMO004368;FP-01-SP8-OCC-FR11;;MARATHON,HJN1,355M1-8,132KW,264A,8P,380V;Installed;SP8.OCC/M-10B(M);3824;https://www.safesave.info/MIC.php?id=Fajar-MotorList3824;2023-10-21 12:19:21
EMO004369;FP-01-SP8-OCC-FR12;;MARATHON,HJN1,355M1-8,132KW,264A,8P,380V;Installed;SP8.OCC/M-11A(M);3825;https://www.safesave.info/MIC.php?id=Fajar-MotorList3825;2023-10-21 12:19:21
EMO004370;FP-01-SP8-OCC-FR13;;MARATHON,HJN1,355M1-8,132KW,264A,8P,380V;Installed;SP8.OCC/M-11B(M);3826;https://www.safesave.info/MIC.php?id=Fajar-MotorList3826;2023-10-21 12:19:21
EMO004362;FP-01-SP8-OCC-OU10;;MITSUBISHI,SF-PRO132M6,5.5KW,12.2A,6P,380V;Installed;SP8.OCC/M-2/OU;3827;https://www.safesave.info/MIC.php?id=Fajar-MotorList3827;2023-10-21 12:19:21
EMO004062;FP-01-SP8-OCC-P010;;MARATHON,HAA450-6,355KW,88.4A,3KV,6P;Installed;SP8.OCC/P-3(M);3828;https://www.safesave.info/MIC.php?id=Fajar-MotorList3828;2023-10-21 12:19:21
EMO004064;FP-01-SP8-OCC-P020;;MARATHON,HAA400-6,315KW,79.6A,3KV,6P;Installed;SP8.OCC/P-5(M);3829;https://www.safesave.info/MIC.php?id=Fajar-MotorList3829;2023-10-21 12:19:21
EMO004086;FP-01-SP8-OCC-P030;;MARATHON,HJN1,280S-4,75KW,139A,4P,380V;Installed;SP8.OCC/P-17(M);3830;https://www.safesave.info/MIC.php?id=Fajar-MotorList3830;2023-10-21 12:19:21
EMO004087;FP-01-SP8-OCC-P040;;MARATHON,HJN1,280S-4,75KW,139A,4P,380V;Installed;SP8.OCC/P-18(M);3831;https://www.safesave.info/MIC.php?id=Fajar-MotorList3831;2023-10-21 12:19:21
EMO004082;FP-01-SP8-OCC-P080;;MARATHON,HK315M-4,132KW,244A,280V,4P;Installed;SP8.OCC/M-29(M);3832;https://www.safesave.info/MIC.php?id=Fajar-MotorList3832;2023-10-21 12:19:21
EMO004084;FP-01-SP8-OCC-P090;;MARATHON,HK315M-4,132KW,244A,280V,4P;Installed;SP8.OCC/M-30(M);3833;https://www.safesave.info/MIC.php?id=Fajar-MotorList3833;2023-10-21 12:19:21
EMO003972;FP-01-SP8-OCC-PAL1;;MARATHON,HJN1,355M1,160KW,29.1A,6P,380V;Installed;SP8.OCC/M-6A(M);3834;https://www.safesave.info/MIC.php?id=Fajar-MotorList3834;2023-10-21 12:19:21
EMO004487;FP-01-SP8-OCC-PAL1-SW01;;SEW,BRE160MJ1,11KW,23A,4P,380V;Installed;SP8.OCC/M-6A;3835;https://www.safesave.info/MIC.php?id=Fajar-MotorList3835;2023-10-21 12:19:21
EMO003973;FP-01-SP8-OCC-PAL2;;MARATHON,HJN1,355M1,160KW,29.1A,6P,380V;Installed;SP8.OCC/M-6B(M);3836;https://www.safesave.info/MIC.php?id=Fajar-MotorList3836;2023-10-21 12:19:21
EMO004488;FP-01-SP8-OCC-PAL2-SW01;;SEW,BRE160MJA,11KW,23A,4P,380V;Installed;SP8.OCC/M-6B;3837;https://www.safesave.info/MIC.php?id=Fajar-MotorList3837;2023-10-21 12:19:21
EMO004060;FP-01-SP8-OCC-PP10;;MARATHON,HJN1,315L-4,160KW,4P,288A,380V;Installed;SP8.OCC/P-1A(M);3838;https://www.safesave.info/MIC.php?id=Fajar-MotorList3838;2023-10-21 12:19:21
EMO004341;FP-01-SP8-OCC-PP11;;MARATHON,HJN1,315L-4,160KW,4P,288A,380V;Installed;SP8.OCC/P-1B(M);3839;https://www.safesave.info/MIC.php?id=Fajar-MotorList3839;2023-10-21 12:19:21
EMO003138;FP-01-SP8-OCC-PP12;;TECO,AEEBKB,EH-315SB,132KW,242A,4P;Installed;SP8.OCC/M-31A(M);3840;https://www.safesave.info/MIC.php?id=Fajar-MotorList3840;2023-10-21 12:19:21
EMO003084;FP-01-SP8-OCC-PP13;10011053;"AC MOTOR;380V,50Hz,132kW,4P,315S,B3";Installed;SP8.OCC/M-31B(M);3841;https://www.safesave.info/MIC.php?id=Fajar-MotorList3841;2023-10-21 12:19:21
EMO001576;FP-01-SP8-OCC-PP14;;MARATHON,HJN1,250M-4,55KW,103A,4P,380V;Installed;SP8.OCC/P-4(M);3842;https://www.safesave.info/MIC.php?id=Fajar-MotorList3842;2023-10-21 12:19:21
EMO004363;FP-01-SP8-OCC-RAGG;;SEW,DRS112M4,DESHFTH,4KW,8.4A,4P,380V;Installed;SP8.OCC/M-3(M);3843;https://www.safesave.info/MIC.php?id=Fajar-MotorList3843;2023-10-21 12:19:21
EMO004364;FP-01-SP8-OCC-ROPE;;HITACHI,TFOA,LKK4P,11KW,23A,4P,380V;Installed;SP8.OCC/M-4(M);3844;https://www.safesave.info/MIC.php?id=Fajar-MotorList3844;2023-10-21 12:19:21
EMO004357;FP-01-SP8-OCC-SR10;;MARATHON,HJN1,75KW,154A,315M8,8P,380V;Installed;SP8.OCC/M-12(M);3845;https://www.safesave.info/MIC.php?id=Fajar-MotorList3845;2023-10-21 12:19:21
EMO004358;FP-01-SP8-OCC-SR11;;MARATHON,HJN1,315M-6,90KW,169A,6P,380V;Installed;SP8.OCC/M-13(M);3846;https://www.safesave.info/MIC.php?id=Fajar-MotorList3846;2023-10-21 12:19:21
EMO004359;FP-01-SP8-OCC-SR12;;MARATHON,HJN1,315S-4,110KW,201A,4P,380V;Installed;SP8.OCC/M-14A(M);3847;https://www.safesave.info/MIC.php?id=Fajar-MotorList3847;2023-10-21 12:19:21
