emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004173;Marathon;72107101J;HJN1;7.5;kW;380;17;50;6P;975 ;6309;6309;160M;;3;0.77;87.2;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004176;Marathon;72107201J;HJN1;15;kW;380;31.4;50;6P;975 ;6311;6311;180L;;3;0.81;89.7;55;Class F;S1;Delta;Not Available;;;;210;260;180;;Internal;Horizontal
EMO004175;Marathon;72107203J;HJN1;15;kW;380;31.4;50;4P;1470;6311;6311;180L;;3;0.81;89.7;55;Class F;S1;Delta;Not Available;;;;280;280;180;;Internal;Horizontal
EMO004091;Marathon;72104411;HJN1;30;kW;380;57.4;50;4P;1470;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004092;Marathon;;HJN1;30;kW;380;57.4;50;6P;985 ;6312;6312;200lC;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;200;;Internal;Horizontal
EMO004093;Marathon;72106001J;HJN1;132;kW;380;244;50;6P;990 ;6319;6319;315L;;3;0.87;;55;Class F;S1;Delta;Available;;;;300;320;315;;Internal;Horizontal
EMO004094;Marathon;72106201J;HJN1;160;kW;380;291;50;6P;1000;6322;6322;355M;;3;0.88;94.8;55;Class F;S1;Delta;Available;;;;500;500;355;;Internal;Horizontal
EMO004295;TMEIC;D167110ML;ICFTCHK11;1000;KW;655;1060;50;4P;1480;6232;6230;450-1250;;3;;;44;Class F;S1;;Available;;;;;;355;;Internal;Horizontal
EMO004139;Marathon;72105219J;HJN1;75;kW;380;139;50;4P;147 ;6317;6317;280S;;3;0.87;94;55;Class F;S1;Delta;Available;;;;;;2820;;Internal;Horizontal
EMO004140;Marathon;72104302J;HJN1;22;kW;380;42.4;50;4P;1485;6311;6311;180L;;3;0.86;91.6;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004142;Thosiba;E167400H14;IDFCHKWII;200;kW;3000;47.8;50;4P;1480;6324;6220;280L;;3;;;44;Class F;S1;;Available;;;;;;;;Internal;Horizontal
EMO005248;Marathon;;HJN1;37;kW;380;69.7;50;4P;1484;6313;6313;225S;;3;0.87;92.7;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004143;ABB;4,44011E+11;M3BP;200;kW;380;366;50;8P;740 ;6319;6319;315M;;3;0.87;;55;Class F;;Delta;Available;;1;1;460;460;315;;Internal;Horizontal
EMO003873;TMEIC;E167370HF;IDFCHKWII;200;kW;3000;53;50;4P;1470;NU328;6224;355H;;3;;;44;Class F;S1;;Available;;;;;;355;;Internal;Horizontal
EMO004000;Marathon;AK15192501J;HJN1;30;kW;380;57.4;50;4P;1470;NU312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO005016;ABB;3GAL132247-BDBSU01;M3AL;30;kW;380;61;50;2P;4100;6308;6206;132MD;;3;;92.3;55;Class F;S1;Delta;Not Available;;;;210;340;132;;Internal;Vertical
EMO004346;oy fromberg AB;4514010;HXUR;75;kW;380;142;50;4P;1473;6315;6313;250M;;3;0.87;;55;Class F;S1;Delta;Available;;;;;;250;;Internal;Horizontal
EMO004347;ABB;3172640;HXUR;75;kW;380;141;50;4P;1485;6315;6313;250M;;3;0.86;;55;Class F;S1;Delta;Available;;;;350;400;250;;Internal;Horizontal
