id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO000770;Available;;;10023987;"DC MOTOR;460V,40HZ,75KW,124A,3PHASE";1334;https://www.safesave.info/MIC.php?id=Fajar-MotorList1334;2023-11-21 08:48:29
EMO003431;Installed;FP-01-PM2-DRY-SZPR;PM2.DRY.SZPR/M;10010563;"AC MOTOR;380V,50Hz,45kW,4P,255M";1335;https://www.safesave.info/MIC.php?id=Fajar-MotorList1335;2023-11-21 08:48:30
EMO000771;Installed;FP-01-PM2-DRY-SZPR-SPRB;PM2.SP.BTR/GB/M;;"AC MOTOR;400V,50Hz,750kW,L2882Z";1336;https://www.safesave.info/MIC.php?id=Fajar-MotorList1336;2023-11-21 08:48:31
EMO000772;Installed;FP-01-PM2-DRY-SZPR-SPRT;PM2.SP.TR/GB/M;;"AC MOTOR;400V,50Hz,750kW,L2882Z";1337;https://www.safesave.info/MIC.php?id=Fajar-MotorList1337;2023-11-21 08:48:32
EMO003224;Installed;FP-01-PM2-WET-BKWR-DR01;PM2.BKW.DR/GB/M;10023987;"DC MOTOR;400V,50Hz,75kW,4P,280S";1338;https://www.safesave.info/MIC.php?id=Fajar-MotorList1338;2023-11-21 08:48:33
EMO001279;Installed;FP-01-PM2-WET-PRS1-PUR1;PM2.P1.PUR/GB/M;10020952;"DC MOTOR;460V,60Hz,51kW";1339;https://www.safesave.info/MIC.php?id=Fajar-MotorList1339;2023-11-21 08:48:34
EMO003802;Installed;FP-01-PM2-WET-PRS2-PSRT;PM2.WET.PRS2/M.PSRT;10011045;"AC MOTOR;380V,50Hz,0.37kW,4P,90S,B5";1340;https://www.safesave.info/MIC.php?id=Fajar-MotorList1340;2023-11-21 08:48:35
MGM000930;Available;;;10008628;"GR.MOTOR;0.37kW,i=200,PL32-0400-200S3,TU";1341;https://www.safesave.info/MIC.php?id=Fajar-MotorList1341;2023-11-21 08:48:36
MGM000781;Installed;FP-01-PM2-WET-TPWR-HB02;EVENEROLL4;10008628;"GR.MOTOR;0.4kW,i=200,PL32-0400-200S3,TUN";1342;https://www.safesave.info/MIC.php?id=Fajar-MotorList1342;2023-11-21 08:48:37
EMO002460;Installed;FP-01-PM2-PMA-CRN1-HST1;PM2.CRANE DEMAG 15T/HST1/GB/M;;MOTOR;1343;https://www.safesave.info/MIC.php?id=Fajar-MotorList1343;2023-11-21 08:48:38
EMO002461;Available;;;10010912;"CRANE MOTOR;380V,50Hz,11.4/1.7kW,B14";1344;https://www.safesave.info/MIC.php?id=Fajar-MotorList1344;2023-11-21 08:48:39
MGM000190;Installed;FP-01-PM2-PMA-CRN1-XTR1;PM2.CRANE DEMAG X-TRAVEL 1/GM/1;;GEARMOTOR;1345;https://www.safesave.info/MIC.php?id=Fajar-MotorList1345;2023-11-21 08:48:40
MGM000191;Installed;FP-01-PM2-PMA-CRN1-XTR2;PM2.CRANE DEMAG X-TRAVEL 2/GM/2;;GEARMOTOR;1346;https://www.safesave.info/MIC.php?id=Fajar-MotorList1346;2023-11-21 08:48:41
MGM000192;Installed;FP-01-PM2-PMA-CRN1-LTR1;PM2.CRANE DEMAG L-TRAVEL 1/GM/3;;"GR.MOTOR;1.2KW,KBF100";1347;https://www.safesave.info/MIC.php?id=Fajar-MotorList1347;2023-11-21 08:48:42
MGB000525;Installed;FP-01-PM2-PMA-CRN1-LTR2;PM2.CRANE DEMAG L-TRAVEL 2/GM;10008467;DRIVE UNIT,AF10N65+ KBS 100A 8/2,METAL;1348;https://www.safesave.info/MIC.php?id=Fajar-MotorList1348;2023-11-21 08:48:43
EMO002462;Installed;FP-01-PM2-PMA-CRN2-HST1;PM2.CRN2/HST1(16T)/M(FAST);;MOTOR;1349;https://www.safesave.info/MIC.php?id=Fajar-MotorList1349;2023-11-21 08:48:44
EMO002463;Installed;FP-01-PM2-PMA-CRN2-HST2;PM2.CRN2/HST2(32T)/M(FAST);;MOTOR;1350;https://www.safesave.info/MIC.php?id=Fajar-MotorList1350;2023-11-21 08:48:45
EMO002464;Installed;FP-01-PM2-PMA-CRN2-HST3;PM2.CRN2/HST3(16T)/M(FAST);;MOTOR;1351;https://www.safesave.info/MIC.php?id=Fajar-MotorList1351;2023-11-21 08:48:46
