id;status;sort_field;funcloc;material_number;equipment_description;unique_id;qr_code_link;created_at
MGM000773;Installed;PM7.PRS2.PSRT/GM;FP-01-PM7-WET-PRS2-PSRT;10025613;"GR.MOTOR;0.37kW,ML80DM-F-LT502,LANTIER";;;2023-11-21 10:37:12
MGB000336;Installed;PM7.P2.PUR.GB;FP-01-PM7-WET-PRS2-PUR1;;GEARBOX;;;2023-11-21 10:37:13
EMO000996;Installed;PM7.BLOWER TOP FORMER MOTOR;FP-01-PM7-WET-TPFR;;MOTOR;;;2023-11-21 10:37:14
EMO003300;Installed;PM7.OSC.SHOWER TPFR/M;FP-01-PM7-WET-TPFR;;"AC MOTOR;380V,50Hz,0.12kW,4P";;;2023-11-21 10:37:15
MGM000742;Installed;PM7.APP1/2507;FP-01-PM7-WET-TPFR;10022997;"GR.MOTOR;0.75kW,i=20.63,ZF28-LA71 ZMD4";;;2023-11-21 10:37:16
EMO001827;Installed;TF.DR/GB/M;FP-01-PM7-WET-TPFR-DR01;10034400;"AC MOTOR;380V,50Hz,630kW,4P,400L,B3";;;2023-11-21 10:37:17
MDO000364;Installed;PM7.TF.DR/DR;FP-01-PM7-WET-TPFR-DR01;;DOCTOR;;;2023-11-21 10:37:18
MGB000766;Installed;PM7.TF.DR.GB;FP-01-PM7-WET-TPFR-DR01;10008522;"GR.BOX;i=4.5,D1PSF60,MOVENTAS";;;2023-11-21 10:37:19
MGM000376;Installed;PM7.TF.DR/DR/GM;FP-01-PM7-WET-TPFR-DR01;;GEARMOTOR;;;2023-11-21 10:37:20
MDO000365;Installed;PM7.TF.WR1(G)/DR;FP-01-PM7-WET-TPFR-WR01;;DOCTOR;;;2023-11-21 10:37:21
MGM000790;Installed;PM7.TF.WR1(G)/DR/GM;FP-01-PM7-WET-TPFR-WR01;10022987;"GR.MOTOR;5.5KW,EF88-LA132 SB4,SIEMENS";;;2023-11-21 10:37:22
MDO000366;Installed;PM7.TF.WR3/DR;FP-01-PM7-WET-TPFR-WR03;;DOCTOR;;;2023-11-21 10:37:23
MGM000687;Installed;PM7.TF.WR3/DR/GM;FP-01-PM7-WET-TPFR-WR03;10022997;"GR.MOTOR;0.75KW,ZF28-LA71 ZMD4,SIEMENS";;;2023-11-21 10:37:24
MDO000367;Installed;PM7.TF.WRR/DR;FP-01-PM7-WET-TPFR-WRR1;;DOCTOR;;;2023-11-21 10:37:25
MGM000379;Installed;PM7.TF.WRR/DR/GM;FP-01-PM7-WET-TPFR-WRR1;;GEARMOTOR;;;2023-11-21 10:37:26
MGM000684;Installed;PM7-APP1/M-2501/GM;FP-01-PM7-WET-TPFR-WRR1;;"GR.MOTOR;STRECHER LEAD IN FORMER";;;2023-11-21 10:37:27
EMO003298;Installed;PM7.OSC.SHOWER TPWR/M;FP-01-PM7-WET-TPWR;;"AC MOTOR;380V,50Hz,0.12kW,4P";;;2023-11-21 10:37:28
EMO003299;Installed;PM7.OSC.SHOWER TPWR.TR/M;FP-01-PM7-WET-TPWR;;"AC MOTOR;380V,50Hz,0.12kW,4P";;;2023-11-21 10:37:29
MGB000635;Installed;PM7.WET.TPWR/GB;FP-01-PM7-WET-TPWR;10025613;"GR.BOX;i=21,ML80DM-F-LT502,LANTIER";;;2023-11-21 10:37:30
MDO000368;Installed;PM7.TW.BR/DR;FP-01-PM7-WET-TPWR-BR01;;DOCTOR;;;2023-11-21 10:37:31
MGM000380;Installed;PM7.TW.BR/DR/GM;FP-01-PM7-WET-TPWR-BR01;;GEARMOTOR;;;2023-11-21 10:37:32
MGM000740;Installed;PM7.APP1/M2401;FP-01-PM7-WET-TPWR-BR01;;MOTOR GEAR;;;2023-11-21 10:37:33
MDO000369;Installed;PM7.TW.DR/DR;FP-01-PM7-WET-TPWR-DR01;;DOCTOR;;;2023-11-21 10:37:34
MGB000742;Installed;PM7.TW.DR/GB;FP-01-PM7-WET-TPWR-DR01;10008522;"GR.BOX;i=4.5,D1PSF60,SANTASALO";;;2023-11-21 10:37:35
MGM000381;Installed;PM7.TW.DR/DR/GM;FP-01-PM7-WET-TPWR-DR01;;GEARMOTOR;;;2023-11-21 10:37:36
MGM000690;Installed;PM7-APP1/M-2407/GM;FP-01-PM7-WET-TPWR-FMR1;10022997;"GR.MOTOR;0.75KW,ZF28-LA71 ZMD4";;;2023-11-21 10:37:37
MGM000492;Installed;PM7.TPWR.HB.TL.HOR.(M2223)/MGM;FP-01-PM7-WET-TPWR-HB01;;"GEAR MOTOR;0.55KW";;;2023-11-21 10:37:38
MGM000997;Installed;PM7.TPWR.HB.TL.VER.(M2221)/MGM;FP-01-PM7-WET-TPWR-HB01;10022988;"GR.MOTOR;2.2kW,i=23.92,K48-LA100L4,SEW";;;2023-11-21 10:37:39
MDO000370;Installed;PM7.TW.WR1/DR;FP-01-PM7-WET-TPWR-WR01;;DOCTOR;;;2023-11-21 10:37:40
MGB000330;Installed;PM7.TW.WR1/GB;FP-01-PM7-WET-TPWR-WR01;10008522;"GR.BOX;i=4.5,D1PSF60,SANTASALO";;;2023-11-21 10:37:41
MGM000382;Installed;PM7.TW.WR1/DR/GM;FP-01-PM7-WET-TPWR-WR01;;GEARMOTOR;;;2023-11-21 10:37:42
MDO000371;Installed;PM7.TW.WR2(T)/DR;FP-01-PM7-WET-TPWR-WR02;;DOCTOR;;;2023-11-21 10:37:43
MGM000383;Installed;PM7.TW.WR2(T)/DR/GM;FP-01-PM7-WET-TPWR-WR02;;GEARMOTOR;;;2023-11-21 10:37:44
MGM000683;Installed;PM7.APP1/M.2403/GM;FP-01-PM7-WET-TPWR-WR02;10022997;"GR.MOTOR;0.75kW,i=20.63,ZF28-LA71 ZMD4";;;2023-11-21 10:37:45
MDO000372;Installed;PM7.TW.WR3(G)/DR;FP-01-PM7-WET-TPWR-WR03;;DOCTOR;;;2023-11-21 10:37:46
MGM000384;Installed;PM7.TW.WR3(G)/DR/GM;FP-01-PM7-WET-TPWR-WR03;;GEARMOTOR;;;2023-11-21 10:37:47
MGB000529;Installed;PM7.M-SF-01/GB;FP-01-PM7-WRS-FU02;10008480;"GR.BOX;i=24.944,22 HMX Q2A,FALK";;;2023-11-21 10:37:48
EMO002679;Installed;PM7.P-FM-3A/M;FP-01-PM7-WRS-T114-P122;10010685;"AC MOTOR;380V,50Hz,75kW,2P,250M,B3";;;2023-11-21 10:37:49
EMO005190;Installed;PM7.P-FM-4/M;FP-01-PM7-WRS-T114-P123;10027779;"AC MOTOR;380V,50Hz,45kW,2P,225M,B3";;;2023-11-21 10:37:50
EMO002158;Installed;PM7.P-W-8A/M;FP-01-PM7-WRS-T114-P156;10010609;"AC MOTOR;380V,50Hz,200kW,4P,315L,B3";;;2023-11-21 10:37:51
EMO005230;Installed;PM7.P-FM-13/M;FP-01-PM7-WRS-T170-P215;10010846;"AC MOTOR;380V,50Hz,3kW,2P,100L,V18";;;2023-11-21 10:37:52
EMO005050;Installed;PM8.APS.TRMJ/M;FP-01-PM8-APS-TRMJ;10036531;"AC MOTOR;380V,50Hz,30kW,2P,132S,B5";;;2023-11-21 10:37:53
MGB000947;Installed;TH20.DV01/J1LH01GM01V01-M11;FP-01-PM8-BRS-TH20-DV01;;"GR.BOX;i=1095,PHF032/TKF97DRE132M4,SEW-E";;;2023-11-21 10:37:54
MGB001007;Installed;TH20.SCC1/J1LH01GM01V01-M21;FP-01-PM8-BRS-TH20-SCC1;;GEAR BOX DRIVE SPEED 100 1/min;;;2023-11-21 10:37:55
